frame_number,dominant_emotion,angry,disgust,fear,happy,sad,surprise,neutral,face_confidence,region,raw_output,source
7886,no dominant emotion detected,23.990263165204148,0.011911498621644617,3.9243283660020394,2.289032476957741,45.2081089963783,0.11301542216355537,24.463330273231236,0.91,"{'x': 589, 'y': 197, 'w': 648, 'h': 648, 'left_eye': (1034, 447), 'right_eye': (793, 456)}","{'angry': 23.990263165204148, 'disgust': 0.011911498621644617, 'fear': 3.9243283660020394, 'happy': 2.289032476957741, 'sad': 45.2081089963783, 'surprise': 0.11301542216355537, 'neutral': 24.463330273231236}",Investor 2
7887,no dominant emotion detected,19.97065961186049,0.0336496674256201,5.88250903084928,5.941316094476944,46.075540547105106,0.22052145946153756,21.87580745672032,0.91,"{'x': 588, 'y': 198, 'w': 646, 'h': 646, 'left_eye': (1029, 448), 'right_eye': (793, 457)}","{'angry': 19.97065961186049, 'disgust': 0.0336496674256201, 'fear': 5.88250903084928, 'happy': 5.941316094476944, 'sad': 46.075540547105106, 'surprise': 0.22052145946153756, 'neutral': 21.87580745672032}",Investor 2
7888,happy,1.9958876589998793,0.00897132956733013,0.37114696810656406,71.65867944463247,8.959547753280134,0.14464355168340226,16.8611278368387,0.92,"{'x': 587, 'y': 198, 'w': 645, 'h': 645, 'left_eye': (1027, 448), 'right_eye': (792, 458)}","{'angry': 1.9958876589998793, 'disgust': 0.00897132956733013, 'fear': 0.37114696810656406, 'happy': 71.65867944463247, 'sad': 8.959547753280134, 'surprise': 0.14464355168340226, 'neutral': 16.8611278368387}",Investor 2
7889,sad,26.27599835395813,0.017029514128807932,3.206857666373253,1.7713887616991997,50.86079239845276,0.16211526235565543,17.705819010734558,0.92,"{'x': 588, 'y': 200, 'w': 647, 'h': 647, 'left_eye': (1032, 449), 'right_eye': (792, 458)}","{'angry': 26.27599835395813, 'disgust': 0.017029514128807932, 'fear': 3.206857666373253, 'happy': 1.7713887616991997, 'sad': 50.86079239845276, 'surprise': 0.16211526235565543, 'neutral': 17.705819010734558}",Investor 2
7890,no dominant emotion detected,28.18743884563446,0.022286458988673985,3.5376228392124176,3.585357591509819,44.465360045433044,0.21807171870023012,19.983868300914764,0.92,"{'x': 588, 'y': 201, 'w': 645, 'h': 645, 'left_eye': (1033, 448), 'right_eye': (794, 459)}","{'angry': 28.18743884563446, 'disgust': 0.022286458988673985, 'fear': 3.5376228392124176, 'happy': 3.585357591509819, 'sad': 44.465360045433044, 'surprise': 0.21807171870023012, 'neutral': 19.983868300914764}",Investor 2
7891,no dominant emotion detected,12.925098836421967,0.01906818215502426,2.9810868203639984,29.650428891181946,21.554328501224518,0.2417487557977438,32.628244161605835,0.93,"{'x': 592, 'y': 202, 'w': 641, 'h': 641, 'left_eye': (1031, 449), 'right_eye': (792, 459)}","{'angry': 12.925098836421967, 'disgust': 0.01906818215502426, 'fear': 2.9810868203639984, 'happy': 29.650428891181946, 'sad': 21.554328501224518, 'surprise': 0.2417487557977438, 'neutral': 32.628244161605835}",Investor 2
7892,happy,5.060721490426152,0.009043685524999978,1.0880579889153235,65.7152095863348,10.97941389557206,0.14925162266204492,16.998303949731824,0.92,"{'x': 588, 'y': 200, 'w': 643, 'h': 643, 'left_eye': (1028, 448), 'right_eye': (793, 459)}","{'angry': 5.060721490426152, 'disgust': 0.009043685524999978, 'fear': 1.0880579889153235, 'happy': 65.7152095863348, 'sad': 10.97941389557206, 'surprise': 0.14925162266204492, 'neutral': 16.998303949731824}",Investor 2
7893,happy,1.0017537177654336,0.00046925263700626677,0.3780663238803341,91.93529438586798,1.2860330588241256,0.06634780834080627,5.332034771563695,0.91,"{'x': 596, 'y': 204, 'w': 636, 'h': 636, 'left_eye': (1027, 449), 'right_eye': (792, 459)}","{'angry': 1.0017537177654336, 'disgust': 0.00046925263700626677, 'fear': 0.3780663238803341, 'happy': 91.93529438586798, 'sad': 1.2860330588241256, 'surprise': 0.06634780834080627, 'neutral': 5.332034771563695}",Investor 2
7894,happy,0.18353982525556237,0.00014293121636650558,0.09471678041096213,97.42007240176632,0.37382503405660594,0.013685599785184847,1.9140205555570458,0.91,"{'x': 594, 'y': 203, 'w': 638, 'h': 638, 'left_eye': (1029, 448), 'right_eye': (791, 458)}","{'angry': 0.18353982525556237, 'disgust': 0.00014293121636650558, 'fear': 0.09471678041096213, 'happy': 97.42007240176632, 'sad': 0.37382503405660594, 'surprise': 0.013685599785184847, 'neutral': 1.9140205555570458}",Investor 2
7895,happy,0.03945685569152466,1.1662957208557485e-05,0.019081317349422144,97.99729013475297,0.10801264892740263,0.00963733212921907,1.8265030963417177,0.91,"{'x': 593, 'y': 201, 'w': 642, 'h': 642, 'left_eye': (1028, 446), 'right_eye': (791, 459)}","{'angry': 0.03945685569152466, 'disgust': 1.1662957208557485e-05, 'fear': 0.019081317349422144, 'happy': 97.99729013475297, 'sad': 0.10801264892740263, 'surprise': 0.00963733212921907, 'neutral': 1.8265030963417177}",Investor 2
