frame_number,dominant_emotion,angry,disgust,fear,happy,sad,surprise,neutral,face_confidence,region,raw_output,source
4342,angry,77.30911374092102,11.53646633028984,4.861783608794212,0.0004664189873437863,5.918450281023979,0.17568239709362388,0.19803508184850216,0.92,"{'x': 692, 'y': 317, 'w': 568, 'h': 568, 'left_eye': (1088, 518), 'right_eye': (855, 542)}","{'angry': 77.30911374092102, 'disgust': 11.53646633028984, 'fear': 4.861783608794212, 'happy': 0.0004664189873437863, 'sad': 5.918450281023979, 'surprise': 0.17568239709362388, 'neutral': 0.19803508184850216}",Investor 1
4343,angry,71.01165479491084,1.477768173978816,10.336986055194501,0.0009580850590182876,15.859412602151192,0.09719651422517087,1.2160217182947228,0.95,"{'x': 677, 'y': 323, 'w': 596, 'h': 596, 'left_eye': (1092, 531), 'right_eye': (856, 555)}","{'angry': 71.01165479491084, 'disgust': 1.477768173978816, 'fear': 10.336986055194501, 'happy': 0.0009580850590182876, 'sad': 15.859412602151192, 'surprise': 0.09719651422517087, 'neutral': 1.2160217182947228}",Investor 1
4344,angry,68.47454121557124,4.102976864753774,14.12759507462949,9.045942277075368e-05,12.773349152407,0.07476833279726403,0.44668529051156586,0.91,"{'x': 682, 'y': 332, 'w': 589, 'h': 589, 'left_eye': (1093, 543), 'right_eye': (858, 568)}","{'angry': 68.47454121557124, 'disgust': 4.102976864753774, 'fear': 14.12759507462949, 'happy': 9.045942277075368e-05, 'sad': 12.773349152407, 'surprise': 0.07476833279726403, 'neutral': 0.44668529051156586}",Investor 1
4345,angry,68.2821653225619,1.7861873178109309,17.492160796184635,2.5247297398176456e-05,12.041198407554436,0.047391783856924934,0.3508774283456717,0.94,"{'x': 684, 'y': 337, 'w': 588, 'h': 588, 'left_eye': (1094, 548), 'right_eye': (858, 573)}","{'angry': 68.2821653225619, 'disgust': 1.7861873178109309, 'fear': 17.492160796184635, 'happy': 2.5247297398176456e-05, 'sad': 12.041198407554436, 'surprise': 0.047391783856924934, 'neutral': 0.3508774283456717}",Investor 1
4346,angry,79.6988844871521,7.048282772302628,9.535592049360275,8.3429830510795e-05,3.447084501385689,0.1051998813636601,0.1648679026402533,0.95,"{'x': 695, 'y': 354, 'w': 577, 'h': 577, 'left_eye': (1093, 558), 'right_eye': (857, 580)}","{'angry': 79.6988844871521, 'disgust': 7.048282772302628, 'fear': 9.535592049360275, 'happy': 8.3429830510795e-05, 'sad': 3.447084501385689, 'surprise': 0.1051998813636601, 'neutral': 0.1648679026402533}",Investor 1
4347,angry,86.70347491461338,2.3383283062781923,6.036165754656106,1.2194081445338594e-05,4.7880889727963245,0.028336699584408154,0.10559079142695171,0.95,"{'x': 696, 'y': 371, 'w': 573, 'h': 573, 'left_eye': (1096, 566), 'right_eye': (864, 592)}","{'angry': 86.70347491461338, 'disgust': 2.3383283062781923, 'fear': 6.036165754656106, 'happy': 1.2194081445338594e-05, 'sad': 4.7880889727963245, 'surprise': 0.028336699584408154, 'neutral': 0.10559079142695171}",Investor 1
4348,angry,86.48165464401245,0.1579517498612404,5.558165535330772,9.040791582037855e-06,7.5785137712955475,0.010656117228791118,0.21304716356098652,0.95,"{'x': 692, 'y': 373, 'w': 577, 'h': 577, 'left_eye': (1098, 570), 'right_eye': (860, 593)}","{'angry': 86.48165464401245, 'disgust': 0.1579517498612404, 'fear': 5.558165535330772, 'happy': 9.040791582037855e-06, 'sad': 7.5785137712955475, 'surprise': 0.010656117228791118, 'neutral': 0.21304716356098652}",Investor 1
4349,angry,94.26642026105048,1.2395092093652016,2.812487054615441,2.1559107074515525e-05,1.5985519646735171,0.013303230727470262,0.06970740920982714,0.95,"{'x': 704, 'y': 386, 'w': 559, 'h': 559, 'left_eye': (1099, 578), 'right_eye': (868, 604)}","{'angry': 94.26642026105048, 'disgust': 1.2395092093652016, 'fear': 2.812487054615441, 'happy': 2.1559107074515525e-05, 'sad': 1.5985519646735171, 'surprise': 0.013303230727470262, 'neutral': 0.06970740920982714}",Investor 1
4350,angry,84.40213706506115,2.146041893723124,9.929620321370383,0.0001909094976430832,3.2831097115939682,0.04985277488881498,0.18904618881545596,0.96,"{'x': 699, 'y': 392, 'w': 559, 'h': 559, 'left_eye': (1099, 585), 'right_eye': (867, 610)}","{'angry': 84.40213706506115, 'disgust': 2.146041893723124, 'fear': 9.929620321370383, 'happy': 0.0001909094976430832, 'sad': 3.2831097115939682, 'surprise': 0.04985277488881498, 'neutral': 0.18904618881545596}",Investor 1
4351,angry,91.16829528430644,0.13905567377724334,7.366130634085016,0.00022814745525806144,1.2507111393762993,0.006767967067472436,0.06881635292292868,0.95,"{'x': 706, 'y': 406, 'w': 550, 'h': 550, 'left_eye': (1098, 588), 'right_eye': (867, 612)}","{'angry': 91.16829528430644, 'disgust': 0.13905567377724334, 'fear': 7.366130634085016, 'happy': 0.00022814745525806144, 'sad': 1.2507111393762993, 'surprise': 0.006767967067472436, 'neutral': 0.06881635292292868}",Investor 1
